age,education_level,duration_of_stay,monthly_income_usd,bank_balance_usd,prev_countries_visited,prev_visa_rejections,has_return_ticket,has_criminal_record,visa_approved,financial_ratio,travel_history_score,risk_flag,nationality_American,nationality_Australian,nationality_British,nationality_Canadian,nationality_Chinese,nationality_German,nationality_Indian,nationality_Nigerian,marital_status_Divorced,marital_status_Married,marital_status_Single,destination_country_Australia,destination_country_Canada,destination_country_France,destination_country_Germany,destination_country_UK,destination_country_USA,visa_type_Student,visa_type_Tourist,visa_type_Work
39,3,110,9680,144968,15,5,0,0,0,14.97603305785124,10,5,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
41,0,69,11327,70594,7,0,0,0,1,6.232365145228216,7,0,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False
61,0,288,9397,159659,0,4,0,0,0,16.99042247525806,-4,4,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
55,3,300,13453,137241,16,3,0,0,0,10.201516390396193,13,3,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True
40,1,291,9682,171722,4,5,1,0,0,17.736211526544103,-1,5,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False
30,1,298,8750,8934,15,4,1,0,0,1.0210285714285714,11,4,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
53,1,356,9014,12513,9,0,1,0,1,1.3881739516307965,9,0,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
34,3,118,13683,167208,4,0,1,0,1,12.220127165095374,4,0,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False
33,3,288,3311,191911,5,5,1,0,0,57.96164300815464,0,5,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
33,1,276,2950,125756,20,2,1,0,1,42.62915254237288,18,2,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True
56,1,159,1601,149388,7,0,0,0,1,93.30918176139913,7,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False
33,0,223,2683,20419,19,3,0,0,0,7.61051062243757,16,3,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False
